state_name,state,Total nonfarm,Mining and logging,"Mining, logging, and construction",Construction,Manufacturing,"Trade, transportation, and utilities",Information,Financial activities,Professional and business services,Education and health services,Leisure and hospitality,Other services,Government,maryland_similarity
Rhode Island,RI,1,0.000387972841901067,0.0415130940834142,0.0411251212415131,0.0791464597478177,0.153249272550921,0.0108632395732299,0.0690591658583899,0.140252182347236,0.220950533462658,0.114451988360815,0.0413191076624636,0.129194956353055,0.995523449801436
South Carolina,SC,1,0.0020034225134605,0.0530906966067031,0.0510872740932426,0.111064735589966,0.187987812513043,0.0126466046162194,0.0521307233190033,0.136524896698527,0.127342543511833,0.121833131599816,0.0370215785299887,0.1603572770149,0.995260305994757
South Dakota,SD,1,0.0025668449197861,0.0686631016042781,0.066096256684492,0.0928342245989305,0.196363636363636,0.0106951871657754,0.0564705882352941,0.0814973262032086,0.168128342245989,0.107593582887701,0.039144385026738,0.178609625668449,0.994544898192026
Tennessee,TN,1,0.00140344590761145,0.0485233957418854,0.0471199498342739,0.108931290871629,0.205948221804174,0.0157663710472095,0.0548239720505241,0.132909313505927,0.152199229597778,0.107856311027502,0.0388784376959599,0.13416345665741,0.994691922138431
Texas,TX,1,0.0146289905996486,0.0753707994148404,0.0607418088151918,0.0689312437441817,0.195909482245725,0.0167778423288793,0.0657814610791855,0.150069645194482,0.13798147927793,0.107008616405468,0.0342276382929578,0.147941792016351,0.997120145859013
Utah,UT,1,0.00626941541937306,0.0878847783112115,0.0816153628918385,0.0879977407512002,0.177294549562271,0.0245693306975431,0.0555210392544479,0.143518780005648,0.141711380965829,0.0960180739903982,0.0263767297373623,0.159107596724089,0.996690265306642
Vermont,VT,1,0.00254372019077901,0.0524642289348172,0.0499205087440382,0.0874403815580286,0.165659777424483,0.0146263910969793,0.0394276629570747,0.108108108108108,0.205723370429253,0.111923688394277,0.0327503974562798,0.1818759936407,0.996550231933028
Virginia,VA,1,0.00173704842609328,0.0558907067909204,0.0541536583648271,0.0582145959015047,0.159198140888712,0.0164315391657473,0.0517358747447243,0.191732588436891,0.142883969859862,0.099152602051595,0.0478157789723246,0.176944203187719,0.999023527414388
Washington,WA,1,0.00150035462927601,0.0647607616345682,0.0632604070052922,0.0756724316656664,0.168448906105079,0.0438376343499373,0.0465655518577118,0.151917726007966,0.154100060014185,0.0948769709203994,0.0345627148235037,0.165257242620983,0.998210905898348
West Virginia,WV,1,0.0313888888888889,0.0779166666666667,0.0465277777777778,0.0629166666666667,0.166944444444444,0.0106944444444444,0.0358333333333333,0.100555555555556,0.196388888888889,0.101111111111111,0.0334722222222222,0.214166666666667,0.996413429779976
Wisconsin,WI,1,0.00134713323476261,0.04787251519632,0.0465253819615574,0.15784458682438,0.183637259733859,0.0153441761130278,0.0514539181862987,0.107540660423854,0.157680302283555,0.0935764744537539,0.049022506982093,0.136027599802859,0.990279807221763
Wyoming,WY,1,0.0574789915966387,0.136134453781513,0.078655462184874,0.0359663865546219,0.178823529411765,0.0107563025210084,0.0403361344537815,0.0719327731092437,0.102857142857143,0.131764705882353,0.053781512605042,0.237647058823529,0.987434552720627
