state_name,state,Total nonfarm,Mining and logging,"Mining, logging, and construction",Construction,Manufacturing,"Trade, transportation, and utilities",Information,Financial activities,Professional and business services,Education and health services,Leisure and hospitality,Other services,Government,maryland_similarity
Alabama,AL,1,0.00396807503269153,0.0521711683275466,0.048203093294855,0.130134824367588,0.186770077106913,0.0112729404337827,0.0474365333453578,0.120665554403211,0.123461243630789,0.0957298101636831,0.047165982774947,0.185191865446183,0.99389032947845
Alaska,AK,1,0.0365603977771278,0.0988593155893536,0.0622989178122258,0.0418250950570342,0.19450131617432,0.0122842936531149,0.0327581164083065,0.0877449546651068,0.15911085112606,0.107633811055864,0.0362679145949108,0.229014331675929,0.994427581652073
Arizona,AZ,1,0.00475508275672875,0.0706251714573109,0.0658700887005822,0.05898131496327,0.192458926448624,0.0150577620629744,0.0748011095193099,0.144267991587161,0.171213460541958,0.10784283841863,0.0315786265126345,0.133172798488128,0.99711600772228
Arkansas,AR,1,0.00377659960781466,0.0522187522695911,0.0484421526617765,0.118745006899557,0.195366402788874,0.00900573752632726,0.0516377369453119,0.115404168784952,0.161812767811751,0.0925266903914591,0.0483695257462416,0.154913210835936,0.994749696547191
California,CA,1,0.00109848254847951,0.0518881203804393,0.0507896378319598,0.0712909653950397,0.173118641635249,0.0287813467727245,0.0447397037961128,0.153621956402939,0.183043624661209,0.112503381007844,0.0329434364287725,0.148068823519671,0.99816166925438
Colorado,CO,1,0.00757223513782796,0.0698439056791764,0.0622716705413484,0.0496180670873464,0.168150116240452,0.0244437064098306,0.0611756891398207,0.1673198272999,0.128993689804052,0.120890069744271,0.0434407173696446,0.166124211225506,0.998160082901242
Connecticut,CT,1,0.000292517404785585,0.0369156964839408,0.0366231790791552,0.0923184929503305,0.173755338442637,0.0176095477680922,0.0699701632247119,0.127888609372258,0.21611185865559,0.0912654302931024,0.0378517521792547,0.136313110630083,0.9952250874202
Delaware,DE,1,,0.050500920057248,,0.056839092210182,0.181557963606624,0.00695154365160499,0.102841954610509,0.132283786546718,0.175628705786138,0.106317726436312,0.0392557759149458,0.147822531179718,0.995527942447369
District of Columbia,DC,1,,0.0192529842125529,,0.00141188550892055,0.0396611474778591,0.0252855859324862,0.0328584263894237,0.23013733795405,0.156462585034014,0.101013990501861,0.0919009113079194,0.302015145680914,0.982591713451701
Florida,FL,1,,0.0675890315169073,0.0669996503671145,0.0422056840317666,0.202067828779781,0.0157634483792018,0.0679786224464312,0.162789071474951,0.153468857699416,0.133549772738624,0.0386094600669297,0.115978222865991,0.995691991078542
Georgia,GA,1,0.00196652887586788,0.0464341614159008,0.0444676325400329,0.0864871372958221,0.207488863025244,0.0214913512862704,0.0574306698238151,0.154011317574347,0.140085082473813,0.107637356021993,0.0340931893887707,0.144840871694024,0.996405136235617
Hawaii,HI,1,,0.0649188514357054,,0.0202871410736579,0.179463171036205,0.00967540574282147,0.0410424469413234,0.113451935081149,0.144194756554307,0.189138576779026,0.0401061173533084,0.197721598002497,0.99262329527095
Idaho,ID,1,0.00464063384267119,0.0886247877758914,0.0839841539332202,0.0919071873231466,0.185398981324278,0.00996038483305037,0.0486700622524052,0.128126768534239,0.156536502546689,0.103904923599321,0.0307866440294284,0.156083757781551,0.996199993714064
Illinois,IL,1,0.0011545090897265,0.0389280952226089,0.0377735861328824,0.0933688900452047,0.198949559335263,0.0147809684867801,0.0639370386028814,0.148720283586458,0.162671956811604,0.0979869264041107,0.0428957039253309,0.137760577579759,0.99628499177515
Indiana,IN,1,0.00169589049392811,0.0529965779352533,0.0513006874413252,0.158323491111717,0.195269676872293,0.00805547984615851,0.0454256382302171,0.113988068199025,0.157202992035371,0.0968171769480028,0.0408225068895551,0.131098391932407,0.990182135605316
Iowa,IA,1,0.00131307447008066,0.0535234164947164,0.0522103420246358,0.138810729694241,0.193772275370475,0.0113799787406991,0.0665916338398049,0.0890389545426124,0.150753454636403,0.0921027949728006,0.0353279559807416,0.168698805727506,0.991763363170992
Kansas,KS,1,0.00408524545516443,0.0524273166746102,0.0483420712194458,0.11751889426023,0.19255123578675,0.0121876489412406,0.0534486280384013,0.119765779260571,0.147205011234425,0.0900796622863757,0.03751617076326,0.177299652754136,0.995414175184848
Kentucky,KY,1,0.00453326834023885,0.050158420667804,0.0456251523275652,0.125322934438216,0.208384109188399,0.010577626127224,0.0468437728491348,0.111576894954911,0.158420667804046,0.100268096514745,0.0352912503046551,0.153156227150865,0.993577903898761
Louisiana,LA,1,0.0153713474025974,0.0861404220779221,0.0707690746753247,0.0696530032467533,0.18942775974026,0.00918222402597403,0.0480925324675325,0.11038961038961,0.175121753246753,0.109273538961039,0.0388088474025974,0.163910308441558,0.996701448658058
Maine,ME,1,0.00289061311425529,0.0530959987828997,0.0502053856686445,0.080937167199148,0.183021451392058,0.0123231401186673,0.0517267609919367,0.115472387037882,0.205842081241442,0.106344135098129,0.0337745321770881,0.157462345960749,0.996694048740777
Maryland,MD,1,0.000504268270720023,0.0561898930230883,0.0556856247523683,0.0397651550624932,0.167921334149768,0.0115621510643662,0.0498145013146994,0.171559269531391,0.174764974966682,0.0951266073551129,0.0393689442783561,0.193927169254043,1
Massachusetts,MA,1,0.000267122555828614,0.0476012394486591,0.0473341168928304,0.0620525697189871,0.14982904156427,0.0240677422801581,0.0617053103964099,0.168073512127364,0.226920611176408,0.0976065818997756,0.0375040068383374,0.124639384549631,0.99615346980342
Michigan,MI,1,0.00164287458650623,0.0469551317629821,0.0453122571764758,0.134160690895367,0.18231467708634,0.0126545745176831,0.0514397353639855,0.143174300113225,0.156561507892458,0.0949981129143263,0.0387629598383767,0.138978309615257,0.994108858192097
Minnesota,MN,1,0.00214132762312634,0.0466479986822599,0.0445066710591336,0.105056827540768,0.176083017624774,0.0136715532861143,0.060945478504365,0.120441442925383,0.201877779607972,0.0899687036732005,0.0387086147257453,0.146598583429419,0.995502828165832
Mississippi,MS,1,0.00534848738091259,0.047551395620926,0.0422029082400134,0.119003844225305,0.207671736586997,0.00752131037940832,0.0376065518970416,0.0993648671235166,0.132709343138894,0.113822497075046,0.0332609059000501,0.201487548052816,0.993137274112108
Missouri,MO,1,0.00152746181345466,0.0508937276568086,0.0493662658433539,0.0942476438089048,0.183685407864803,0.0157946051348716,0.062918427039324,0.12395190120247,0.175593110172246,0.106434839129022,0.0387065323366916,0.147773805654859,0.996509160841677
Montana,MT,1,0.0128539493293592,0.0855067064083458,0.0726527570789866,0.0398658718330849,0.19150521609538,0.0104321907600596,0.0517883755588674,0.0974292101341282,0.165424739195231,0.144374068554396,0.0387481371087928,0.174925484351714,0.995534377941649
Nebraska,NE,1,0.000927988121752042,0.0593912397921307,0.0584632516703786,0.101336302895323,0.186432813659985,0.0168893838158872,0.0640311804008909,0.11822568671121,0.159428359317001,0.0937268002969562,0.0357275426874536,0.164810690423163,0.996366794539265
Nevada,NV,1,0.00977839862848435,0.0881960759413296,0.0784176773128453,0.0447647469680615,0.189472347450632,0.012445234618071,0.0487015048574513,0.134484729189155,0.110038732617944,0.225284145025081,0.0300336529303448,0.11657883040193,0.98663685990923
New Hampshire,NH,1,0.001255930784259,0.04605079542283,0.044794864638571,0.0981021490371197,0.196343845939157,0.015908456600614,0.0482835612615127,0.140385152107173,0.190343287747697,0.104381802958415,0.035584705554005,0.124616243371476,0.995380282207773
New Jersey,NJ,1,0.0003643319063667,0.039233992166864,0.0388696602604973,0.0576782949266782,0.209354221695965,0.0158939794152473,0.0610483650605702,0.161945532379998,0.184921213225248,0.0917888696602605,0.0398715730030057,0.138263958466163,0.997356077077657
New Mexico,NM,1,0.0268448837470516,0.088846456250702,0.0620015725036505,0.0332472200381894,0.161743232618219,0.0101089520386387,0.0403234864652364,0.139054251375941,0.166797708637538,0.113894192968662,0.0322363248343255,0.213748174772549,0.998305743720022
New York,NY,1,0.000545581296664882,0.0392515432878345,0.0387059619911697,0.0423431706356022,0.148590076482415,0.0265516231043576,0.0755731129454318,0.141265142406822,0.240651868615941,0.0956585873485759,0.0397162977257343,0.150398577447286,0.996073730312848
North Carolina,NC,1,0.00113050376834589,0.0546013486711622,0.0534708449028164,0.0909361364537882,0.184470448234827,0.0165212217374058,0.0618207060690202,0.149980166600555,0.140043633478778,0.109361364537882,0.0403014676715589,0.151963506545022,0.997080658172947
North Dakota,ND,1,0.0421847246891652,0.105683836589698,0.0634991119005329,0.063943161634103,0.209813499111901,0.0119893428063943,0.05550621669627,0.0759325044404973,0.159635879218472,0.086145648312611,0.0355239786856128,0.195825932504441,0.992983231757766
Ohio,OH,1,0.00165347405452946,0.0467018469656992,0.0450483729111697,0.120158311345646,0.18490765171504,0.0115743183817062,0.0554089709762533,0.131398416886544,0.172700087950748,0.0996833773087071,0.0381354441512753,0.139331574318382,0.994926615991672
Oklahoma,OK,1,0.018214226034646,0.0691249373363783,0.0509107113017323,0.0777585918787946,0.177964685567872,0.00924636550994263,0.0462318275497131,0.114521249930374,0.151506711970144,0.107502924302345,0.0402161198685456,0.205926586085891,0.997311576390239
Oregon,OR,1,0.00310279251326194,0.0604043639275348,0.0573015714142729,0.0928335501951756,0.181513362025823,0.0167650885797218,0.0514963467120408,0.129816835151636,0.173055750175158,0.102292062856571,0.0330297267540787,0.15879291362226,0.997327265329932
Pennsylvania,PA,1,0.00367445608380338,0.0455439161966156,0.0418694601128122,0.0905882352941176,0.184512489927478,0.0146333601933924,0.0552941176470588,0.134343271555197,0.223609991941982,0.095423045930701,0.0427558420628525,0.113295729250604,0.994104546654267
