state,report_for_period_ending,indicator_type,0-7,15-21,22-28,29-35,36-42,43-49,50-56,57-63,64-70,71-+,8-14,total,21days_or_fewer,nonmonetary_determination_time_lapse,md_fy_num,md_fy_str
AK,2019-06-30,intra-ucx,10,1,0,0,0,0,0,0,0,0,2,13,13,1,2018,2018-2019
AK,2019-06-30,intra-ui,1808,441,130,38,19,16,9,3,5,4,991,3464,3240,0.935334872979215,2018,2018-2019
AK,2019-07-31,inter-total,140,33,13,3,4,1,0,1,0,18,94,307,267,0.86970684039088,2019,2019-2020
AK,2019-07-31,inter-ucfe,3,0,0,0,0,0,0,0,0,0,0,3,3,1,2019,2019-2020
AK,2019-07-31,inter-ucx,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2019,2019-2020
AK,2019-07-31,inter-ui,136,33,13,3,4,1,0,1,0,18,94,303,263,0.867986798679868,2019,2019-2020
AK,2019-07-31,intra-total,1710,353,102,39,12,14,4,1,4,12,836,3087,2899,0.939099449303531,2019,2019-2020
AK,2019-07-31,intra-ucfe,10,0,0,1,0,0,0,0,0,0,2,13,12,0.923076923076923,2019,2019-2020
AK,2019-07-31,intra-ucx,5,1,0,0,0,0,0,0,0,0,2,8,8,1,2019,2019-2020
AK,2019-07-31,intra-ui,1695,352,102,38,12,14,4,1,4,12,832,3066,2879,0.939008480104371,2019,2019-2020
AK,2019-08-31,inter-total,123,38,7,10,1,1,2,25,0,7,75,289,236,0.816608996539792,2019,2019-2020
AK,2019-08-31,inter-ucfe,0,2,0,0,0,0,0,0,0,0,0,2,2,1,2019,2019-2020
AK,2019-08-31,inter-ucx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,2019-2020
AK,2019-08-31,inter-ui,123,36,7,10,1,1,2,25,0,7,75,287,234,0.815331010452962,2019,2019-2020
AK,2019-08-31,intra-total,1722,435,88,30,1,6,3,0,2,23,777,3087,2934,0.950437317784256,2019,2019-2020
AK,2019-08-31,intra-ucfe,8,2,0,0,0,0,0,0,0,0,2,12,12,1,2019,2019-2020
AK,2019-08-31,intra-ucx,3,1,0,0,0,0,0,0,0,0,0,4,4,1,2019,2019-2020
AK,2019-08-31,intra-ui,1711,432,88,30,1,6,3,0,2,23,775,3071,2918,0.950179094757408,2019,2019-2020
AK,2019-09-30,inter-total,139,52,19,7,4,1,4,0,0,11,81,318,272,0.855345911949686,2019,2019-2020
AK,2019-09-30,inter-ucfe,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2019,2019-2020
AK,2019-09-30,inter-ucx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,2019-2020
AK,2019-09-30,inter-ui,139,52,19,7,4,1,4,0,0,11,80,317,271,0.854889589905363,2019,2019-2020
AK,2019-09-30,intra-total,1589,437,152,50,40,10,0,0,3,6,675,2962,2701,0.911883862255233,2019,2019-2020
AK,2019-09-30,intra-ucfe,15,0,2,0,2,0,0,0,0,0,2,21,17,0.80952380952381,2019,2019-2020
AK,2019-09-30,intra-ucx,5,0,0,0,0,0,0,0,0,0,2,7,7,1,2019,2019-2020
AK,2019-09-30,intra-ui,1569,437,150,50,38,10,0,0,3,6,671,2934,2677,0.912406271301977,2019,2019-2020
AK,2019-10-31,inter-total,231,45,15,9,2,0,2,9,0,11,94,418,370,0.885167464114833,2019,2019-2020
AK,2019-10-31,inter-ucfe,3,0,0,0,0,0,0,0,0,0,0,3,3,1,2019,2019-2020
AK,2019-10-31,inter-ucx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,2019-2020
AK,2019-10-31,inter-ui,228,45,15,9,2,0,2,9,0,11,94,415,367,0.88433734939759,2019,2019-2020
AK,2019-10-31,intra-total,2021,479,168,88,31,17,7,6,12,19,714,3562,3214,0.902302077484559,2019,2019-2020
AK,2019-10-31,intra-ucfe,18,5,1,1,1,0,0,0,0,1,11,38,34,0.894736842105263,2019,2019-2020
AK,2019-10-31,intra-ucx,9,0,0,0,0,0,0,0,0,0,0,9,9,1,2019,2019-2020
AK,2019-10-31,intra-ui,1994,474,167,87,30,17,7,6,12,18,703,3515,3171,0.902133712660028,2019,2019-2020
AK,2019-11-30,inter-total,220,63,28,9,3,2,5,10,0,12,109,461,392,0.850325379609545,2019,2019-2020
AK,2019-11-30,inter-ucfe,5,2,0,1,0,0,0,0,0,0,0,8,7,0.875,2019,2019-2020
AK,2019-11-30,inter-ucx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,2019-2020
AK,2019-11-30,inter-ui,215,61,28,8,3,2,5,10,0,12,109,453,385,0.849889624724062,2019,2019-2020
AK,2019-11-30,intra-total,1976,414,193,80,21,11,24,1,1,24,620,3365,3010,0.894502228826152,2019,2019-2020
AK,2019-11-30,intra-ucfe,22,1,0,1,0,0,0,0,0,0,10,34,33,0.970588235294118,2019,2019-2020
AK,2019-11-30,intra-ucx,2,0,0,0,1,0,0,0,0,0,1,4,3,0.75,2019,2019-2020
AK,2019-11-30,intra-ui,1952,413,193,79,20,11,24,1,1,24,609,3327,2974,0.893898406973249,2019,2019-2020
AK,2019-12-31,inter-total,214,53,11,8,4,0,2,1,1,12,118,424,385,0.908018867924528,2019,2019-2020
AK,2019-12-31,inter-ucfe,13,1,0,0,0,0,0,0,0,0,2,16,16,1,2019,2019-2020
AK,2019-12-31,inter-ucx,1,0,0,0,0,0,0,0,0,0,2,3,3,1,2019,2019-2020
AK,2019-12-31,inter-ui,200,52,11,8,4,0,2,1,1,12,114,405,366,0.903703703703704,2019,2019-2020
AK,2019-12-31,intra-total,2192,469,157,99,29,24,5,20,4,20,808,3827,3469,0.906454141625294,2019,2019-2020
AK,2019-12-31,intra-ucfe,24,2,0,1,1,0,0,0,0,1,6,35,32,0.914285714285714,2019,2019-2020
AK,2019-12-31,intra-ucx,5,1,0,0,0,0,0,0,0,0,0,6,6,1,2019,2019-2020
AK,2019-12-31,intra-ui,2163,466,157,98,28,24,5,20,4,19,802,3786,3431,0.906233491811939,2019,2019-2020
AK,2020-01-31,inter-total,206,87,31,6,6,3,0,3,1,5,134,482,427,0.885892116182573,2019,2019-2020
AK,2020-01-31,inter-ucfe,9,0,0,0,0,0,0,0,0,0,0,9,9,1,2019,2019-2020
AK,2020-01-31,inter-ucx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,2019-2020
AK,2020-01-31,inter-ui,197,87,31,6,6,3,0,3,1,5,134,473,418,0.883720930232558,2019,2019-2020
AK,2020-01-31,intra-total,1989,657,269,69,11,14,8,3,6,17,804,3847,3450,0.896802703405251,2019,2019-2020
AK,2020-01-31,intra-ucfe,32,5,1,1,0,0,0,0,0,0,5,44,42,0.954545454545455,2019,2019-2020
AK,2020-01-31,intra-ucx,2,1,0,0,0,0,0,0,0,0,3,6,6,1,2019,2019-2020
AK,2020-01-31,intra-ui,1955,651,268,68,11,14,8,3,6,17,796,3797,3402,0.895970503028707,2019,2019-2020
AK,2020-02-29,inter-total,176,72,52,4,2,12,0,0,0,2,123,443,371,0.837471783295711,2019,2019-2020
AK,2020-02-29,inter-ucfe,4,1,0,0,0,0,0,0,0,0,4,9,9,1,2019,2019-2020
AK,2020-02-29,inter-ucx,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2019,2019-2020
AK,2020-02-29,inter-ui,171,71,52,4,2,12,0,0,0,2,119,433,361,0.833718244803695,2019,2019-2020
AK,2020-02-29,intra-total,1812,604,276,67,10,1,2,1,1,41,793,3608,3209,0.889412416851441,2019,2019-2020
AK,2020-02-29,intra-ucfe,15,3,0,0,0,0,0,0,0,29,15,62,33,0.532258064516129,2019,2019-2020
AK,2020-02-29,intra-ucx,10,0,0,0,0,0,0,0,0,0,4,14,14,1,2019,2019-2020
AK,2020-02-29,intra-ui,1787,601,276,67,10,1,2,1,1,12,774,3532,3162,0.89524348810872,2019,2019-2020
AK,2020-03-31,inter-total,207,48,21,4,2,0,0,0,0,1,85,368,340,0.923913043478261,2019,2019-2020
AK,2020-03-31,inter-ucfe,7,1,0,0,0,0,0,0,0,0,2,10,10,1,2019,2019-2020
AK,2020-03-31,inter-ucx,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2019,2019-2020
AK,2020-03-31,inter-ui,199,47,21,4,2,0,0,0,0,1,83,357,329,0.92156862745098,2019,2019-2020
AK,2020-03-31,intra-total,3343,479,157,64,36,8,1,4,0,25,852,4969,4674,0.940631917890924,2019,2019-2020
AK,2020-03-31,intra-ucfe,15,1,0,1,1,1,0,0,0,0,6,25,22,0.88,2019,2019-2020
AK,2020-03-31,intra-ucx,5,2,0,0,0,0,0,0,0,0,0,7,7,1,2019,2019-2020
AK,2020-03-31,intra-ui,3323,476,157,63,35,7,1,4,0,25,846,4937,4645,0.940854770103302,2019,2019-2020
AK,2020-04-30,inter-total,318,83,68,19,2,1,1,0,0,0,135,627,536,0.854864433811802,2019,2019-2020
AK,2020-04-30,inter-ucfe,3,1,0,0,0,0,0,0,0,0,1,5,5,1,2019,2019-2020
AK,2020-04-30,inter-ucx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,2019-2020
AK,2020-04-30,inter-ui,315,82,68,19,2,1,1,0,0,0,134,622,531,0.853697749196142,2019,2019-2020
