state,report_for_period_ending,indicator_type,0-7,15-21,22-28,29-35,36-42,43-49,50-56,57-63,64-70,71-+,8-14,total,14days_or_fewer,21days_or_fewer,non_waiting_week,first_payment_promptness,md_fy_num,md_fy_str
AK,2019-04-30,inter-ucfe,5,0,0,0,0,0,0,0,0,0,0,5,5,5,FALSE,1,2018,2018-2019
AK,2019-04-30,inter-ucx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,2018,2018-2019
AK,2019-04-30,inter-ui,152,2,1,0,0,0,0,0,0,0,45,200,197,199,FALSE,0.995,2018,2018-2019
AK,2019-04-30,intra-total,703,48,11,9,3,3,1,2,0,5,270,1055,973,1021,FALSE,0.967772511848341,2018,2018-2019
AK,2019-04-30,intra-ucfe,0,1,0,2,0,0,0,1,0,1,2,7,2,3,FALSE,0.428571428571429,2018,2018-2019
AK,2019-04-30,intra-ucx,1,0,0,0,0,0,0,0,0,0,1,2,2,2,FALSE,1,2018,2018-2019
AK,2019-04-30,intra-ui,702,47,11,7,3,3,1,1,0,4,267,1046,969,1016,FALSE,0.97131931166348,2018,2018-2019
AK,2019-05-31,inter-total,248,6,2,1,0,0,0,0,0,0,107,364,355,361,FALSE,0.991758241758242,2018,2018-2019
AK,2019-05-31,inter-ucfe,1,0,0,0,0,0,0,0,0,0,0,1,1,1,FALSE,1,2018,2018-2019
AK,2019-05-31,inter-ucx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,2018,2018-2019
AK,2019-05-31,inter-ui,247,6,2,1,0,0,0,0,0,0,107,363,354,360,FALSE,0.991735537190083,2018,2018-2019
AK,2019-05-31,intra-total,590,33,8,3,1,0,0,0,1,2,285,923,875,908,FALSE,0.983748645720477,2018,2018-2019
AK,2019-05-31,intra-ucfe,4,1,0,0,0,0,0,0,0,0,5,10,9,10,FALSE,1,2018,2018-2019
AK,2019-05-31,intra-ucx,2,0,0,0,0,0,0,0,0,0,0,2,2,2,FALSE,1,2018,2018-2019
AK,2019-05-31,intra-ui,584,32,8,3,1,0,0,0,1,2,280,911,864,896,FALSE,0.983534577387486,2018,2018-2019
AK,2019-06-30,inter-total,61,3,1,0,1,0,0,0,0,0,28,94,89,92,FALSE,0.978723404255319,2018,2018-2019
AK,2019-06-30,inter-ucfe,2,0,0,0,0,0,0,0,0,0,1,3,3,3,FALSE,1,2018,2018-2019
AK,2019-06-30,inter-ucx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,2018,2018-2019
AK,2019-06-30,inter-ui,59,3,1,0,1,0,0,0,0,0,27,91,86,89,FALSE,0.978021978021978,2018,2018-2019
AK,2019-06-30,intra-total,671,38,7,2,4,2,0,0,0,3,326,1053,997,1035,FALSE,0.982905982905983,2018,2018-2019
AK,2019-06-30,intra-ucfe,3,0,0,0,0,0,0,0,0,0,0,3,3,3,FALSE,1,2018,2018-2019
AK,2019-06-30,intra-ucx,4,0,0,0,0,0,0,0,0,0,0,4,4,4,FALSE,1,2018,2018-2019
