state_name,state,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024
Delaware,DE,0.795,0.546,0.447,0.171,0.136
District of Columbia,DC,0.766,0.679,0.657,0.82,0.764
Maryland,MD,0.844,0.508,0.229,0.203,0.535
Pennsylvania,PA,0.671,0.433,0.248,0.24,0.241
Virginia,VA,0.536,0.485,0.382,0.592,0.528
West Virginia,WV,0.867,0.773,0.834,0.79,0.815
