state_name,state,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024
California,CA,0.822,0.761,0.64,0.625,0.659
Colorado,CO,0.918,0.437,0.626,0.608,0.619
Maryland,MD,0.844,0.508,0.229,0.203,0.535
New Mexico,NM,0.468,0.494,0.642,0.506,0.271
Virginia,VA,0.536,0.485,0.382,0.592,0.528
Washington,WA,0.796,0.478,0.527,0.542,0.367
