variable,variable_type,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,five_yr_change
occ_management,occ,0.0363849885850613,0.0764944520517328,0.112600774581094,0.107565112898362,0.116591164801326,0.0802061762162651
occ_ina,occ,0.0432164851852385,0.0235191407180084,0.0214952840130678,0.0982623058539725,0.110199413750222,0.0669829285649836
occ_trans_material_moving,occ,0.0403160016685743,0.0669366367108782,0.0993057751080198,0.0989734057635098,0.100961538461538,0.0606455367929642
occ_computer_math,occ,0.0127834983756059,0.0178804219414672,0.028944699125303,0.0417298630457579,0.0562118789601469,0.0434283805845409
occ_healthcare_technical,occ,0.00786921829760214,0.0204712585901287,0.0257831436400042,0.0230612401042346,0.0203521939953811,0.0124829756977789
occ_office_admin,occ,0.131765996839572,0.123788168086913,0.167055274528401,0.156563497171353,0.143949487771659,0.0121834909320863
occ_life_physical_social,occ,0.00393306797796331,0.00460055958422545,0.00563152070818843,0.00850619512041442,0.0108367383194173,0.00690367034145399
occ_building_grounds_cleaning_maint,occ,0.0226161683205142,0.0309504630208243,0.0359429339234904,0.0307753239330126,0.02835021022088,0.00573404190036575
occ_protective_services,occ,0.0167175938007944,0.0163167972880144,0.022430577510802,0.0162112776845147,0.0170175282761888,0.000299934475394361
occ_military,occ,0,0.00022350527426834,0.000233823374433555,0.000252035410975242,0.000236868597145733,0.000236868597145733
occ_art_design_enter_sport_media,occ,0.0176998333480601,0.0205396785720476,0.0155278480345663,0.0166793434477544,0.0175504826197667,-0.00014935072829339
occ_food_prep_serving,occ,0.0462156036355193,0.108540547049685,0.0740166245125935,0.0519417978225941,0.0459414046307811,-0.000274199004738192
occ_legal,occ,0.00688492385588614,0.00549822974700115,0.00460072188850248,0.0087627311637285,0.00534804879493101,-0.00153687506095513
occ_comm_social_serv,occ,0.0147479774701372,0.01367487371952,0.0138285119612183,0.0138889513976714,0.0126428613726535,-0.00210511609748372
occ_architecture_engineering,occ,0.0157322719118532,0.0116678875832329,0.0111444830856782,0.0114271055083239,0.0131054953514538,-0.00262677656039947
occ_install_maint_repair,occ,0.035398639248895,0.032202092556727,0.0294156391611339,0.0294341354960372,0.0286536981109729,-0.00674494113792205
occ_personal_care_services,occ,0.0285167977346844,0.0375114831536321,0.0332029191695648,0.0185201020743414,0.0161440753242139,-0.0123727224104705
occ_construct_extract,occ,0.0816183526733149,0.0631653273075095,0.0705026873221625,0.065785742896877,0.0596760821934032,-0.0219422704799117
occ_farm_fish_forest,occ,0.0255669967512119,0.0109034083185926,0.00264121614501001,0.00297491797597563,0.0017728134067626,-0.0237941833444493
occ_edu_train_library,occ,0.0462156036355193,0.0482114560593192,0.024824797133523,0.0182050578106224,0.0184202344999112,-0.0277953691356081
occ_healthcare_support,occ,0.0590011569055756,0.046000122243701,0.041972942354305,0.0296861709070124,0.0248119855510156,-0.03418917135456
occ_business_finance,occ,0.108166561524567,0.0608554687179281,0.0422989777637264,0.0559383593394872,0.0583066856161544,-0.0498598759084129
occ_production,occ,0.0835838592150714,0.0514153357459739,0.0337199652228897,0.0330841483228394,0.0334909989933085,-0.050092860221763
occ_sales,occ,0.115048403038778,0.108632685958669,0.0828788597323216,0.0617711788506285,0.0594281103807663,-0.0556202926580117
