label,2020,2021,2022,2023
Asian,0.0678772448693156,0.0687217664000829,0.0697062499057022,0.0708226669684882
Black or African American,0.31287549470017,0.313922246720469,0.314798342175292,0.315628502587192
Other,0.0385879496035514,0.0394390648165317,0.040564369033584,0.041723534619052
White,0.580659310826963,0.577916922062916,0.574931038885422,0.571825295825268
