variable,variable_type,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,five_yr_change
sex_male,sex,0.379696204404461,0.408956266859824,0.462235878385499,0.482062729813539,0.500099928939421,0.12040372453496
sex_female,sex,0.462548521195209,0.488441128254625,0.533993308040889,0.515106372445329,0.497120566115947,0.0345720449207384
sex_ina,sex,0.15775527440033,0.102602604885552,0.00377081357361155,0.00283089774113263,0.00277950494463197,-0.154975769455698
