state_name,state,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024
Delaware,DE,0.83,0.4,0.419,0.257,0.362
District of Columbia,DC,0.864,0.71,0.501,0.736,0.437
Maryland,MD,0.949,0.573,0.085,0.672,0.434
Pennsylvania,PA,0.853,0.518,0.504,0.585,0.702
Virginia,VA,0.849,0.856,0.928,0.752,0.585
West Virginia,WV,0.967,0.754,0.921,0.897,0.957
