variable,variable_type,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,five_yr_change
race_black_african_am,race,0.330091729681612,0.380646815141068,0.485825692907577,0.496838305781962,0.488745040563747,0.158653310882135
race_asian,race,0,0.0321108659141685,0.0278447412793761,0.0273008357674253,0.0319365488245396,0.0319365488245396
race_native_am_alaskan_native,race,0.00300264368800149,0.0041152338458142,0.00520668668985141,0.00584632140815785,0.00574406348078404,0.00274141979278254
race_native_hi_pac_island,race,0.00171741729320594,0.00211189677522941,0.00254571082305828,0.00250235158039705,0.0024834191981998,0.00076600190499386
race_white,race,0.422214405881922,0.380641341542515,0.373672805353567,0.375276226309797,0.369366968674128,-0.0528474372077941
race_ina,race,0.242973803455258,0.200373846781205,0.10490436294657,0.0922359591522609,0.101723959258601,-0.141249844196657
