state_name,state,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024
Illinois,IL,0.84,0.9,0.88,0.827,0.954
Maryland,MD,0.844,0.508,0.229,0.203,0.535
Minnesota,MN,0.837,0.873,0.768,0.825,0.843
North Dakota,ND,0.932,0.969,0.982,0.958,0.991
South Dakota,SD,0.917,0.857,0.917,0.94,0.933
Virginia,VA,0.536,0.485,0.382,0.592,0.528
