state_name,state,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024
California,CA,0.888,0.917,0.837,0.81,0.882
Colorado,CO,0.828,0.49,0.664,0.802,0.781
Maryland,MD,0.949,0.573,0.085,0.672,0.434
New Mexico,NM,0.787,0.827,0.852,0.844,0.864
Virginia,VA,0.849,0.856,0.928,0.752,0.585
Washington,WA,0.913,0.706,0.826,0.866,0.834
